fill_id,order_id,timestamp,expected_price,executed_price,quantity,latency_ms,fee,status,slippage_pct,risk_state
FIL-000001,ORD-000001,2026-08-26 09:00:00.238,140.08,140.09,0.636,20,0.0356,SUCCESS,0.0072,NORMAL
FIL-000002,ORD-000002,2026-08-26 09:00:00.347,59939.28,59949.11,0.325,7,7.7934,SUCCESS,0.0164,NORMAL
FIL-000003,ORD-000003,2026-08-26 09:00:00.504,140.23,140.27,1.783,5,0.1,SUCCESS,0.0253,NORMAL
FIL-000004,ORD-000004,2026-08-26 09:00:00.760,59959.15,59958.85,0.116,7,2.7821,SUCCESS,0.0005,NORMAL
FIL-000005,ORD-000005,2026-08-26 09:00:00.896,60008.52,59991.54,2.397,11,57.5199,SUCCESS,0.0283,NORMAL
FIL-000006,ORD-000006,2026-08-26 09:00:01.013,60054.99,60067.3,0.925,6,22.2249,SUCCESS,0.0205,NORMAL
FIL-000007,ORD-000007,2026-08-26 09:00:01.204,59939.53,59928.62,1.008,12,24.1632,SUCCESS,0.0182,NORMAL
FIL-000008,ORD-000008,2026-08-26 09:00:01.312,2997.81,2997.15,0.21,13,0.2518,SUCCESS,0.022,NORMAL
FIL-000009,ORD-000009,2026-08-26 09:00:01.478,2998.67,2999.04,1.012,16,1.214,SUCCESS,0.0122,NORMAL
FIL-000010,ORD-000010,2026-08-26 09:00:01.707,139.91,139.87,1.708,6,0.0956,SUCCESS,0.0289,NORMAL
FIL-000011,ORD-000011,2026-08-26 09:00:01.798,139.93,140.0,1.85,6,0.1036,SUCCESS,0.047,NORMAL
FIL-000012,ORD-000012,2026-08-26 09:00:01.904,2998.1,2997.8,1.752,33,2.1009,SUCCESS,0.0099,NORMAL
FIL-000013,ORD-000013,2026-08-26 09:00:01.962,140.11,140.09,0.65,9,0.0364,SUCCESS,0.0144,NORMAL
FIL-000014,ORD-000014,2026-08-26 09:00:02.236,3008.03,3007.01,2.363,7,2.8422,SUCCESS,0.0339,NORMAL
FIL-000015,ORD-000015,2026-08-26 09:00:02.450,140.09,140.07,2.223,6,0.1246,SUCCESS,0.0134,NORMAL
FIL-000016,ORD-000016,2026-08-26 09:00:02.567,2997.27,2997.92,1.447,8,1.7352,SUCCESS,0.0217,NORMAL
FIL-000017,ORD-000017,2026-08-26 09:00:02.652,139.93,139.89,0.626,8,0.035,SUCCESS,0.0311,NORMAL
FIL-000018,ORD-000018,2026-08-26 09:00:02.862,139.83,139.81,0.363,24,0.0203,SUCCESS,0.0127,NORMAL
FIL-000019,ORD-000019,2026-08-26 09:00:03.031,59953.38,59940.07,1.53,5,36.6833,SUCCESS,0.0222,NORMAL
FIL-000020,ORD-000020,2026-08-26 09:00:03.265,140.07,140.03,0.128,20,0.0072,SUCCESS,0.0278,NORMAL
FIL-000021,ORD-000021,2026-08-26 09:00:03.355,59943.66,59941.38,0.804,28,19.2771,SUCCESS,0.0038,NORMAL
FIL-000022,ORD-000022,2026-08-26 09:00:03.533,2995.78,2996.74,0.732,5,0.8774,SUCCESS,0.032,NORMAL
FIL-000023,ORD-000023,2026-08-26 09:00:03.738,59939.61,59947.94,1.633,20,39.158,SUCCESS,0.0139,NORMAL
FIL-000024,ORD-000024,2026-08-26 09:00:04.024,60056.1,60065.65,2.388,12,57.3747,SUCCESS,0.0159,NORMAL
FIL-000025,ORD-000025,2026-08-26 09:00:04.166,140.06,140.06,0.368,22,0.0206,SUCCESS,0.0029,NORMAL
FIL-000026,ORD-000026,2026-08-26 09:00:04.237,3004.79,3005.29,2.373,13,2.8526,SUCCESS,0.0168,NORMAL
FIL-000027,ORD-000027,2026-08-26 09:00:04.319,139.62,139.58,1.378,5,0.0769,SUCCESS,0.0264,NORMAL
FIL-000028,ORD-000028,2026-08-26 09:00:04.524,59908.88,59890.43,1.366,13,32.7241,SUCCESS,0.0308,NORMAL
FIL-000029,ORD-000029,2026-08-26 09:00:04.756,2999.64,3000.15,1.756,11,2.1073,SUCCESS,0.0171,NORMAL
FIL-000030,ORD-000030,2026-08-26 09:00:04.938,2997.33,2996.58,1.151,5,1.3796,SUCCESS,0.0249,NORMAL
FIL-000031,ORD-000031,2026-08-26 09:00:05.129,2997.87,2997.87,0.15,36,0.1799,SUCCESS,0.0,NORMAL
FIL-000032,ORD-000032,2026-08-26 09:00:05.196,60036.09,60056.02,0.241,29,5.7894,SUCCESS,0.0332,NORMAL
FIL-000033,ORD-000033,2026-08-26 09:00:05.300,59962.21,59950.04,1.706,31,40.9099,SUCCESS,0.0203,NORMAL
FIL-000034,ORD-000034,2026-08-26 09:00:05.412,140.2,140.22,1.483,32,0.0832,SUCCESS,0.0135,NORMAL
FIL-000035,ORD-000035,2026-08-26 09:00:05.570,2997.59,2997.49,1.135,8,1.3609,SUCCESS,0.0034,NORMAL
FIL-000036,ORD-000036,2026-08-26 09:00:05.785,3003.52,3003.39,1.668,28,2.0039,SUCCESS,0.0042,NORMAL
FIL-000037,ORD-000037,2026-08-26 09:00:05.898,60006.31,60009.49,2.168,11,52.0402,SUCCESS,0.0053,NORMAL
FIL-000038,ORD-000038,2026-08-26 09:00:06.066,59982.27,59984.79,0.54,9,12.9567,SUCCESS,0.0042,NORMAL
