incident_id,timestamp,severity,category,symbol,trigger,risk_state,status
INC-0001,2026-08-26 09:00:16.520,HIGH,Execution Quality,SOLUSDT,"Slippage: 0.3763%, Latency: 432ms",THROTTLE,OPEN
INC-0002,2026-08-26 09:00:16.635,CRITICAL,Execution Quality,SOLUSDT,"Slippage: 0.1843%, Latency: 425ms",EMERGENCY_PAUSE,OPEN
INC-0003,2026-08-26 09:00:16.764,CRITICAL,Execution Quality,ETHUSDT,"Slippage: 0.3655%, Latency: 354ms",EMERGENCY_PAUSE,OPEN
INC-0004,2026-08-26 09:00:16.864,CRITICAL,Execution Quality,BTCUSDT,"Slippage: 0.4224%, Latency: 224ms",EMERGENCY_PAUSE,OPEN
INC-0005,2026-08-26 09:00:17.058,CRITICAL,Execution Quality,BTCUSDT,"Slippage: 0.4051%, Latency: 198ms",EMERGENCY_PAUSE,OPEN
INC-0006,2026-08-26 09:00:17.215,CRITICAL,Execution Quality,BTCUSDT,"Slippage: 0.1707%, Latency: 400ms",EMERGENCY_PAUSE,OPEN
INC-0007,2026-08-26 09:00:17.310,CRITICAL,Execution Quality,ETHUSDT,"Slippage: 0.4175%, Latency: 884ms",EMERGENCY_PAUSE,OPEN
INC-0008,2026-08-26 09:00:17.511,CRITICAL,Execution Quality,SOLUSDT,"Slippage: 0.3824%, Latency: 437ms",EMERGENCY_PAUSE,OPEN
INC-0009,2026-08-26 09:00:17.679,CRITICAL,Execution Quality,ETHUSDT,"Slippage: 0.176%, Latency: 333ms",EMERGENCY_PAUSE,OPEN
INC-0010,2026-08-26 09:00:17.795,CRITICAL,Execution Quality,SOLUSDT,"Slippage: 0.2475%, Latency: 301ms",EMERGENCY_PAUSE,OPEN
INC-0011,2026-08-26 09:00:37.171,HIGH,Execution Quality,BTCUSDT,"Slippage: 0.2992%, Latency: 221ms",THROTTLE,OPEN
INC-0012,2026-08-26 09:00:37.231,CRITICAL,Execution Quality,SOLUSDT,"Slippage: 0.3919%, Latency: 273ms",EMERGENCY_PAUSE,OPEN
INC-0013,2026-08-26 09:00:37.444,CRITICAL,Execution Quality,ETHUSDT,"Slippage: 0.2439%, Latency: 188ms",EMERGENCY_PAUSE,OPEN
INC-0014,2026-08-26 09:00:37.706,CRITICAL,Execution Quality,ETHUSDT,"Slippage: 0.2474%, Latency: 390ms",EMERGENCY_PAUSE,OPEN
INC-0015,2026-08-26 09:00:37.857,CRITICAL,Execution Quality,SOLUSDT,"Slippage: 0.223%, Latency: 284ms",EMERGENCY_PAUSE,OPEN
INC-0016,2026-08-26 09:00:37.956,CRITICAL,Execution Quality,ETHUSDT,"Slippage: 0.1729%, Latency: 610ms",EMERGENCY_PAUSE,OPEN
INC-0017,2026-08-26 09:00:38.056,CRITICAL,Execution Quality,ETHUSDT,"Slippage: 0.3945%, Latency: 579ms",EMERGENCY_PAUSE,OPEN
INC-0018,2026-08-26 09:00:38.299,CRITICAL,Execution Quality,BTCUSDT,"Slippage: 0.2031%, Latency: 220ms",EMERGENCY_PAUSE,OPEN
INC-0019,2026-08-26 09:00:38.597,CRITICAL,Execution Quality,SOLUSDT,"Slippage: 0.3429%, Latency: 498ms",EMERGENCY_PAUSE,OPEN
INC-0020,2026-08-26 09:00:38.661,CRITICAL,Execution Quality,SOLUSDT,"Slippage: 0.2827%, Latency: 436ms",EMERGENCY_PAUSE,OPEN
INC-0021,2026-08-26 09:00:59.328,HIGH,Execution Quality,ETHUSDT,"Slippage: 0.2362%, Latency: 429ms",THROTTLE,OPEN
