timestamp,symbol,best_bid,best_ask,bid_depth,ask_depth
2026-08-26 09:00:00.238,SOLUSDT,140.06,140.08,5.5002,10.5006
2026-08-26 09:00:00.347,BTCUSDT,59927.3,59939.28,16.8099,5.6357
2026-08-26 09:00:00.504,SOLUSDT,140.21,140.23,16.2249,19.3204
2026-08-26 09:00:00.760,BTCUSDT,59959.15,59971.15,16.7853,21.1886
2026-08-26 09:00:00.896,BTCUSDT,60008.52,60020.52,11.805,8.1096
2026-08-26 09:00:01.013,BTCUSDT,60042.99,60054.99,12.5985,12.1796
2026-08-26 09:00:01.204,BTCUSDT,59939.53,59951.51,15.7246,24.4623
2026-08-26 09:00:01.312,ETHUSDT,2997.81,2998.41,16.547,19.0914
2026-08-26 09:00:01.478,ETHUSDT,2998.07,2998.67,22.1064,22.3297
2026-08-26 09:00:01.707,SOLUSDT,139.91,139.93,8.2531,12.1054
2026-08-26 09:00:01.798,SOLUSDT,139.91,139.93,17.1826,8.4228
2026-08-26 09:00:01.904,ETHUSDT,2998.1,2998.7,10.399,23.5078
2026-08-26 09:00:01.962,SOLUSDT,140.11,140.13,21.857,20.52
2026-08-26 09:00:02.236,ETHUSDT,3008.03,3008.63,10.3548,9.2197
2026-08-26 09:00:02.450,SOLUSDT,140.09,140.11,9.2525,14.9846
2026-08-26 09:00:02.567,ETHUSDT,2996.67,2997.27,10.2976,9.9326
2026-08-26 09:00:02.652,SOLUSDT,139.93,139.95,22.9565,12.988
2026-08-26 09:00:02.862,SOLUSDT,139.83,139.85,6.8182,5.9423
2026-08-26 09:00:03.031,BTCUSDT,59953.38,59965.38,16.9282,12.6953
2026-08-26 09:00:03.265,SOLUSDT,140.07,140.09,24.4216,22.2156
2026-08-26 09:00:03.355,BTCUSDT,59943.66,59955.64,20.372,11.8035
2026-08-26 09:00:03.533,ETHUSDT,2995.18,2995.78,24.0763,22.5171
2026-08-26 09:00:03.738,BTCUSDT,59927.63,59939.61,22.4104,10.9689
2026-08-26 09:00:04.024,BTCUSDT,60044.08,60056.1,12.4783,8.231
2026-08-26 09:00:04.166,SOLUSDT,140.04,140.06,16.9789,14.7721
2026-08-26 09:00:04.237,ETHUSDT,3004.19,3004.79,6.1585,22.5602
2026-08-26 09:00:04.319,SOLUSDT,139.62,139.64,21.3205,24.5597
2026-08-26 09:00:04.524,BTCUSDT,59908.88,59920.86,23.937,8.3025
2026-08-26 09:00:04.756,ETHUSDT,2999.04,2999.64,23.5783,20.1053
2026-08-26 09:00:04.938,ETHUSDT,2997.33,2997.93,24.903,17.9976
2026-08-26 09:00:05.129,ETHUSDT,2997.27,2997.87,9.9581,6.2805
2026-08-26 09:00:05.196,BTCUSDT,60024.09,60036.09,5.1438,19.1568
2026-08-26 09:00:05.300,BTCUSDT,59962.21,59974.21,6.4171,9.7601
2026-08-26 09:00:05.412,SOLUSDT,140.18,140.2,19.4671,22.6477
2026-08-26 09:00:05.570,ETHUSDT,2997.59,2998.19,8.8082,6.9386
2026-08-26 09:00:05.785,ETHUSDT,3003.52,3004.12,22.2767,6.0834
2026-08-26 09:00:05.898,BTCUSDT,59994.31,60006.31,13.0524,11.7861
2026-08-26 09:00:06.066,BTCUSDT,59970.27,59982.27,15.7257,7.8036
2026-08-26 09:00:06.128,BTCUSDT,59984.32,59996.32,13.8626,22.227
2026-08-26 09:00:06.220,SOLUSDT,139.86,139.88,24.3799,23.5273
2026-08-26 09:00:06.312,ETHUSDT,2993.94,2994.54,14.6272,22.293
2026-08-26 09:00:06.478,ETHUSDT,3000.01,3000.61,24.7062,10.3041
2026-08-26 09:00:06.697,ETHUSDT,2999.12,2999.72,18.9318,19.6101
2026-08-26 09:00:06.895,SOLUSDT,140.04,140.06,8.0959,10.9342
2026-08-26 09:00:07.073,SOLUSDT,140.15,140.17,19.9595,6.1433
2026-08-26 09:00:07.140,SOLUSDT,139.88,139.9,6.1376,15.1566
2026-08-26 09:00:07.417,SOLUSDT,140.07,140.09,18.5043,9.7041
