order_id,timestamp,symbol,side,order_type,requested_price,quantity,status
ORD-000001,2026-08-26 09:00:00.238,SOLUSDT,BUY,MARKET,140.08,0.636,FILLED
ORD-000002,2026-08-26 09:00:00.347,BTCUSDT,BUY,MARKET,59939.28,0.325,FILLED
ORD-000003,2026-08-26 09:00:00.504,SOLUSDT,BUY,MARKET,140.23,1.783,FILLED
ORD-000004,2026-08-26 09:00:00.760,BTCUSDT,SELL,MARKET,59959.15,0.116,FILLED
ORD-000005,2026-08-26 09:00:00.896,BTCUSDT,SELL,MARKET,60008.52,2.397,FILLED
ORD-000006,2026-08-26 09:00:01.013,BTCUSDT,BUY,MARKET,60054.99,0.925,FILLED
ORD-000007,2026-08-26 09:00:01.204,BTCUSDT,SELL,MARKET,59939.53,1.008,FILLED
ORD-000008,2026-08-26 09:00:01.312,ETHUSDT,SELL,MARKET,2997.81,0.21,FILLED
ORD-000009,2026-08-26 09:00:01.478,ETHUSDT,BUY,MARKET,2998.67,1.012,FILLED
ORD-000010,2026-08-26 09:00:01.707,SOLUSDT,SELL,MARKET,139.91,1.708,FILLED
ORD-000011,2026-08-26 09:00:01.798,SOLUSDT,BUY,MARKET,139.93,1.85,FILLED
ORD-000012,2026-08-26 09:00:01.904,ETHUSDT,SELL,MARKET,2998.1,1.752,FILLED
ORD-000013,2026-08-26 09:00:01.962,SOLUSDT,SELL,MARKET,140.11,0.65,FILLED
ORD-000014,2026-08-26 09:00:02.236,ETHUSDT,SELL,MARKET,3008.03,2.363,FILLED
ORD-000015,2026-08-26 09:00:02.450,SOLUSDT,SELL,MARKET,140.09,2.223,FILLED
ORD-000016,2026-08-26 09:00:02.567,ETHUSDT,BUY,MARKET,2997.27,1.447,FILLED
ORD-000017,2026-08-26 09:00:02.652,SOLUSDT,SELL,MARKET,139.93,0.626,FILLED
ORD-000018,2026-08-26 09:00:02.862,SOLUSDT,SELL,MARKET,139.83,0.363,FILLED
ORD-000019,2026-08-26 09:00:03.031,BTCUSDT,SELL,MARKET,59953.38,1.53,FILLED
ORD-000020,2026-08-26 09:00:03.265,SOLUSDT,SELL,MARKET,140.07,0.128,FILLED
ORD-000021,2026-08-26 09:00:03.355,BTCUSDT,SELL,MARKET,59943.66,0.804,FILLED
ORD-000022,2026-08-26 09:00:03.533,ETHUSDT,BUY,MARKET,2995.78,0.732,FILLED
ORD-000023,2026-08-26 09:00:03.738,BTCUSDT,BUY,MARKET,59939.61,1.633,FILLED
ORD-000024,2026-08-26 09:00:04.024,BTCUSDT,BUY,MARKET,60056.1,2.388,FILLED
ORD-000025,2026-08-26 09:00:04.166,SOLUSDT,BUY,MARKET,140.06,0.368,FILLED
ORD-000026,2026-08-26 09:00:04.237,ETHUSDT,BUY,MARKET,3004.79,2.373,FILLED
ORD-000027,2026-08-26 09:00:04.319,SOLUSDT,SELL,MARKET,139.62,1.378,FILLED
ORD-000028,2026-08-26 09:00:04.524,BTCUSDT,SELL,MARKET,59908.88,1.366,FILLED
ORD-000029,2026-08-26 09:00:04.756,ETHUSDT,BUY,MARKET,2999.64,1.756,FILLED
ORD-000030,2026-08-26 09:00:04.938,ETHUSDT,SELL,MARKET,2997.33,1.151,FILLED
ORD-000031,2026-08-26 09:00:05.129,ETHUSDT,BUY,MARKET,2997.87,0.15,FILLED
ORD-000032,2026-08-26 09:00:05.196,BTCUSDT,BUY,MARKET,60036.09,0.241,FILLED
ORD-000033,2026-08-26 09:00:05.300,BTCUSDT,SELL,MARKET,59962.21,1.706,FILLED
ORD-000034,2026-08-26 09:00:05.412,SOLUSDT,BUY,MARKET,140.2,1.483,FILLED
ORD-000035,2026-08-26 09:00:05.570,ETHUSDT,SELL,MARKET,2997.59,1.135,FILLED
ORD-000036,2026-08-26 09:00:05.785,ETHUSDT,SELL,MARKET,3003.52,1.668,FILLED
ORD-000037,2026-08-26 09:00:05.898,BTCUSDT,BUY,MARKET,60006.31,2.168,FILLED
ORD-000038,2026-08-26 09:00:06.066,BTCUSDT,BUY,MARKET,59982.27,0.54,FILLED
ORD-000039,2026-08-26 09:00:06.128,BTCUSDT,BUY,MARKET,59996.32,1.421,FILLED
ORD-000040,2026-08-26 09:00:06.220,SOLUSDT,BUY,MARKET,139.88,2.137,FILLED
ORD-000041,2026-08-26 09:00:06.312,ETHUSDT,SELL,MARKET,2993.94,2.266,FILLED
ORD-000042,2026-08-26 09:00:06.478,ETHUSDT,BUY,MARKET,3000.61,1.982,FILLED
ORD-000043,2026-08-26 09:00:06.697,ETHUSDT,SELL,MARKET,2999.12,1.98,FILLED
